productId,productname,description,price,demoprice,brand,image,category,subcategory,stock
10001,Jump Rope Random Color,Weight - 0.3 kg,289,300,Citizen Sports,https://drive.google.com/uc?export=view&id=1vLm15GrWnMBSOw840mgB9-PU0dKU8hgA,Fitness & Sports,Gym Equipment,4
10002,Focallure Makeup Setting Spray (100 ml),"Locks makeup for as long as 24 hours
Adapts to any skin type
Prevents foundations and concealers from oxidation
Infused with natural ingredients, i.e.Hyaluronic Acid, Collagen, Camellia Synesis Leaf Extract etc.
Nozzle sprays out tiny mist drops enabling it to set evenly",650,800,Easy Dhaka,https://drive.google.com/uc?export=view&id=1d9Qo9qbJcpeDGvN84yRl6JKuDZ0CwSI1,Cosmetics,Setting Spray,5
10003,Philips BT3102/15 Beard Trimmer Series 3000 for Men,"Ergonomic design for easier handling
Lift & Trim comb guides hairs to the blades for an even trim
Stainless Steel Blades for long-lasting sharpness
DuraPower technology for a longer-lasting battery life
Skin-friendly blades for smooth skin
10 lock-in length settings, 0.5-10mm with 1mm precision
Up to 60 minutes of cordless use after 10 hours of charging
Detachable head for easy cleaning
Worldwide voltage, no oil needed","2,150",2500,Gear Exact,https://drive.google.com/uc?export=view&id=11-7PXVheumndzymeZqNlDY80dGxLRbtF,Electronics,Trimmer,45
10004,Expiry date,"FABRIC: FLEECE
SIZE: M, L, XL, XXL
Size Measurement (in inch/centimeter):
M (Medium): Chest 39.37?, Height 27.56?
L (large) : Chest 41.73?, Height 28.74?
XL(Extra large): Chest 43.30?, Height 29.92?
XXL(Double Extra large) : Chest 45.67?, Height 31.10?",900,72,One Ummah BD,https://drive.google.com/uc?export=view&id=19msKNlW-D3JAhL6RfLomvAgm8dcXpV5P,Clothing,Men's wear,45
10005,"Follow the sunnah, not the society","FABRIC: FLEECE
SIZE: M, L, XL, XXL
Size Measurement (in inch/centimeter):
M (Medium): Chest 39.37?, Height 27.56?
L (large) : Chest 41.73?, Height 28.74?
XL(Extra large): Chest 43.30?, Height 29.92?
XXL(Double Extra large) : Chest 45.67?, Height 31.10?",900,72,One Ummah BD,https://drive.google.com/uc?export=view&id=1CUE4wK5T3BGsEQ803gG0sBdqCQk_puk3,Clothing,Men's wear,33
10006,"MusicNomad MN103 Guitar ONE All-in-1 Cleaner, Polish, and Wax, 4 oz.","Complete guitar maintenance in one bottle to clean, polish, and protect
The streak-free, advanced formula that smells great
Infused with white Brazilian carnauba wax for an acoustically transparent shield with a high gloss shine
Safe on all lacquer finishes, not recommended for matte finishes
Proudly Made in the USA",900,72,Guitar Paradise,https://drive.google.com/uc?export=view&id=1BlIttSHUEXMhZoAIo-2qHZEALz6CoQ38,Musical Instruments,Guitar,63
10007,Starry Night Wall Clock,"High Quality TPU plastic frame
Dimensions: 10” and 14? diameter, 1.75” depth
High-impact Plexiglas crystal face
Backside hook for easy hanging
High-Definition plastic paper printing
Unique gift for friends or family
One free Uniross AA battery free with each clock",787,39.35,Paperboat,https://drive.google.com/uc?export=view&id=1NVaB4Y8BlPJE-ePFfjOQE3poODE1-hS_,Clock,Wall Clock,22
10008,Philips DST5040/80 Steam Iron 5000 Series,"2600 W to heat up quickly
Scratch-resistant soleplate provides good gliding
Drip-stop keeps garments spotless while ironing
Steam output up to 45 g/min for strong, steady performance
Built-in calc-clean slider, long-lasting steam performance
Comfortable, textured handle for easy grip
Up to 200 g steam boost blasts stubborn creases
Tested cord for maximum durability and safety
Vertical steaming for hanging fabrics","6,750.00",250,Gear Exact,https://drive.google.com/uc?export=view&id=1UCZpGuNb8goRcQoWkpLS5bE963jnJ0yG,Electronics,Iron,63
10009,Wooden Hanging belt Wall Clock,"Piney Wall clocks are made from pine wood with the design digitally printed directly on the wood in durable, non-fading pigment ink. Each piece is finished with non-toxic varnish. Once finished we assemble the final product by hand using a quartz silent movement and stainless steel metal hands.
? Size: 11.5 inches in diameter
? Material: Canadian pine wood
? Free TOSHIBA Alkaline AA battery with each product.","1,259",62.95,Paperboat,https://drive.google.com/uc?export=view&id=1JYRTjt-IpSdLrTGFlD4eHiNgtKdrx2Cm,Clock,Wall Clock,35
10010,W7 HD Foundation,"PROFESSIONAL – Liquid Foundation providing a buildable, medium coverage with a soft, matte finish
FORMULA – Rich and creamy formula that provides the perfect cover up for long lasting wear
APPLICATION – Pump applicator for usage control. Easy to blend into the skin for a natural and poreless finish.
SHADE MATCH – 20 Shades Available – Color = Natural Beige
CRUELTY FREE – HD Foundation is vegan-friendly and free from animal testing! W7’s mission is to give everybody access to high quality cosmetics at an affordable price.",499,39.92,Easy Dhaka,https://drive.google.com/uc?export=view&id=1Hn-7-sj8c2R2R-08b_tC49KpgC-Q1yW4,Cosmetics,Foundation,4
10011,Imagine the day you meet your lord,"FABRIC: FLEECE
SIZE: M, L, XL, XXL
Size Measurement (in inch/centimeter):
M (Medium): Chest 39.37?, Height 27.56?
L (large) : Chest 41.73?, Height 28.74?
XL(Extra large): Chest 43.30?, Height 29.92?
XXL(Double Extra large) : Chest 45.67?, Height 31.10?",900,72,One Ummah BD,https://drive.google.com/uc?export=view&id=1b0VETJ46BRlnnb-DVErHN-ZToC0RC5CT,Clothing,Men's wear,24
10012,Professional Dotara (Two-Stringed) - Professional,"Professional Dotara is originally manufactured by Labu Flutes in its warehouse. A stringed folk musical instrument often used to accompany Bhawaiya songs. The Dotara's rhythm harmonizes with the Bhawaiya's long intonation, that is why Bhawaiya is also called 'dotard song'.A Historical Instrument, Easy to Carry, and It's also a Plucked stringed instrument.","5,500.00",500,Labu Flutes,https://drive.google.com/uc?export=view&id=1nOdeEHwYG1UAZNBkoXbex1jcWz7KIg-T,Musical Instruments,Dotara,24
10013,Kemei KM-809A Rechargeable Hair Clipper and Trimmer for Men,"2200mAh large capacity lithium battery
4 hours safe charging, use time 120 minutes
High-grade carbon steel cutter blade
Adjustable taper control Length Settings 0.8 to 3.2mm
Liquid crystal LCD display
Four different lengths of limit combs-3, 6, 10, and 13mm
The high-speed copper core motor
Fast charging with LCD power display indicator
Low-frequency vibration","1,550.00",77.5,Gear Exact,https://drive.google.com/uc?export=view&id=13gYoGIpyMBdgN5wb4Yt534jNCOVtjgCw,Electronics,Trimmer,4
